Station,Train Operating Companies / Lines,Postcode,Cardinal Direction,Region,Closest Major City,Landmark 1,Landmark 2,Landmark 3
Pontypridd,Transport for Wales,CF37 1PH,South,Wales,Cardiff,Pontypridd Museum,Old Bridge Pontypridd,None
Trehafod,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Tonyrefail,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Porth,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Tonypandy,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llwynypia,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Ystrad Rhondda,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Ton Pentre,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Treorchy,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Ynyswen,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Treherbert,Transport for Wales,CF42 5BW,South,Wales,Cardiff,None,None,None
Barry Island,Transport for Wales,CF62 7TG,South,Wales,Cardiff,Barry Island Pleasure Park,None,None
Barry,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Cadoxton,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Dinas Powys,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Eastbrook,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Cogan,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Barry Docks,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Rhoose Cardiff International Airport,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llantwit Major,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Porthcawl,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Pencoed,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llanharan,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Pontyclun,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Talbot Green,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llantrisant,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llandaf,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Danescourt,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Fairwater,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Waungron Park,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Ninian Park,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Radyr,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Taffs Well,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Tongwynlais,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Coryton,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Whitchurch (Cardiff),Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Rhiwbina,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Birchgrove,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Heath High Level,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Heath Low Level,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llanishen,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Lisvane & Thornhill,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Caerphilly,Transport for Wales,CF83 1JQ,South,Wales,Cardiff,Caerphilly Castle,None,None
Aber,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llanbradach,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Ystrad Mynach,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Hengoed,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Pengam,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Gilfach Fargoed,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Bargoed,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Brithdir,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Tir-Phil,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
New Tredegar,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Rhymney,Transport for Wales,NP22 5NQ,South,Wales,Cardiff,None,None,None
Pontlottyn,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Fochriw,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Darran & Deri,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Rhigos,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Hirwaun,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Cwmaman,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Gelli Tarw Junction,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Cwmdare,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Gwaun-cae-Gurwen,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Pantyffynnon,Transport for Wales,Unknown,South,Wales,Swansea,None,None,None
Ammanford,Transport for Wales,Unknown,South,Wales,Swansea,None,None,None
Llandybie,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Ffairfach,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llandeilo,Transport for Wales,SA19 6EA,South,Wales,Swansea,Dinefwr Castle (1km),None,None
Llangadog,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llanwrda,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llanelli,"Transport for Wales,Great Western Railway",SA15 1TA,South,Wales,Swansea,None,None,None
Pembrey & Burry Port,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Kidwelly,Transport for Wales,Unknown,South,Wales,Swansea,None,None,None
Ferryside,Transport for Wales,Unknown,South,Wales,Swansea,None,None,None
Carmarthen,"Transport for Wales,Great Western Railway",SA31 1DZ,South,Wales,Swansea,Carmarthen Castle,None,None
Whitland,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Narberth,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Kilgetty,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Saundersfoot,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Tenby,Transport for Wales,SA70 7DQ,South,Wales,Swansea,Tenby Castle,Tenby Old Town Walls,None
Penally,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Manorbier,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Lamphey,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Pembroke,Transport for Wales,Unknown,South,Wales,Swansea,None,None,None
Pembroke Dock,Transport for Wales,SA72 6BZ,South,Wales,Swansea,Pembroke Castle (5km),None,None
Milford Haven,Transport for Wales,SA73 2BH,South,Wales,Swansea,None,None,None
Johnston,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Haverfordwest,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Clarbeston Road,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Fishguard & Goodwick,Transport for Wales,Unknown,West,Wales,Swansea,None,None,None
Fishguard Harbour,Transport for Wales,SA65 9HJ,West,Wales,Swansea,None,None,None
Clunderwen,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Knighton,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Bucknell,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Hopton Heath,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Broome,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Abergavenny,Transport for Wales,NP7 5PR,South,Wales,Cardiff,Abergavenny Castle,None,None
Pontypool & New Inn,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Cwmbran,Transport for Wales,NP44 1QS,South,Wales,Cardiff,None,None,None
Caerleon,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Severn Tunnel Junction,"Great Western Railway,Transport for Wales",Unknown,South,Wales,Cardiff,None,None,None
Saltburn,Northern,Unknown,North,North East,Glasgow,None,None,None
Marske,Northern,Unknown,North,North East,Glasgow,None,None,None
Longbeck,Northern,Unknown,North,North East,Glasgow,None,None,None
Redcar East,Northern,Unknown,North,North East,Glasgow,None,None,None
Redcar Central,Northern,Unknown,North,North East,Glasgow,None,None,None
South Bank,Northern,Unknown,North,North East,Glasgow,None,None,None
Grangetown,Northern,Unknown,North,North East,Glasgow,None,None,None
Nunthorpe,Northern,Unknown,North,North East,Glasgow,None,None,None
Marton,Northern,Unknown,North,North East,Glasgow,None,None,None
James Cook,Northern,Unknown,North,North East,Glasgow,None,None,None
Stainton,Northern,Unknown,North,North East,Glasgow,None,None,None
Great Ayton,Northern,Unknown,North,North East,Glasgow,None,None,None
Battersby,Northern,Unknown,North,North East,Glasgow,None,None,None
Kildale,Northern,Unknown,North,North East,Glasgow,None,None,None
Commondale,Northern,Unknown,North,North East,Glasgow,None,None,None
Castleton Moor,Northern,Unknown,North,North East,Glasgow,None,None,None
Danby,Northern,Unknown,North,North East,Glasgow,None,None,None
Lealholm,Northern,Unknown,North,North East,Glasgow,None,None,None
Glaisdale,Northern,Unknown,North,North East,Glasgow,None,None,None
Egton,Northern,Unknown,North,North East,Glasgow,None,None,None
Grosmont,Northern,Unknown,North,North East,Glasgow,None,None,None
Sleights,Northern,Unknown,North,North East,Glasgow,None,None,None
Ruswarp,Northern,Unknown,North,North East,Glasgow,None,None,None
Whitby,Northern,YO21 1YN,North,Yorkshire and the Humber,Manchester,Whitby Abbey,199 Steps,Captain Cook Memorial Museum
Elland,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Greetland,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Stainland,Northern,Unknown,Central,London,London,None,None,None
Norwood Green,Northern,Unknown,Central,London,London,None,None,None
Bailiff Bridge,Northern,Unknown,Central,London,London,None,None,None
Lightcliffe,Northern,Unknown,Central,London,London,None,None,None
Hipperholme,Northern,Unknown,Central,London,London,None,None,None
Wyke,Northern,Unknown,Central,London,London,None,None,None
Cleckheaton,Northern,Unknown,Central,London,London,None,None,None
Liversedge,Northern,Unknown,Central,London,London,None,None,None
Liverpool Lime Street,"Avanti West Coast,Northern,TransPennine Express,CrossCountry",L1 1JD,West,North West,Liverpool,St George's Hall Liverpool,World Museum Liverpool,Walker Art Gallery
Liverpool Central,Northern,Unknown,North,North West,Liverpool,None,None,None
Liverpool James Street,Northern,Unknown,North,North West,Liverpool,None,None,None
Edge Hill (Merseyrail),Northern,Unknown,North,North West,Liverpool,None,None,None
Mossley Hill,Northern,Unknown,North,North West,Liverpool,None,None,None
West Allerton,Northern,Unknown,North,North West,Liverpool,None,None,None
Allerton,Northern,Unknown,North,North West,Liverpool,None,None,None
Hunt's Cross,Northern,Unknown,North,North West,Liverpool,None,None,None
Cressington,Northern,Unknown,North,North West,Liverpool,None,None,None
Aigburth,Northern,Unknown,North,North West,Liverpool,None,None,None
St Michaels,Northern,Unknown,North,North West,Liverpool,None,None,None
Brunswick,Northern,Unknown,North,North West,Liverpool,None,None,None
Liverpool South Parkway,"Northern,TransPennine Express",L19 5PR,West,North West,Liverpool,None,None,None
Runcorn East,TransPennine Express,Unknown,North,North West,Liverpool,None,None,None
Runcorn,"Northern,TransPennine Express",WA7 1DA,North,North West,Liverpool,Runcorn Bridge,None,None
Widnes,Northern,WA8 6DQ,North,North West,Liverpool,None,None,None
Warrington Central,"Northern,TransPennine Express",WA1 2QF,North,North West,Manchester,None,None,None
Warrington Bank Quay,"Avanti West Coast,Northern,TransPennine Express",WA1 1JN,North,North West,Manchester,None,None,None
Earlestown,Northern,WA12 9JH,North,North West,Liverpool,None,None,None
Newton-le-Willows,"Northern,TransPennine Express",WA12 9JH,North,North West,Liverpool,None,None,None
Eccles,Northern,M30 0HS,North,North West,Manchester,None,None,None
Patricroft,Northern,Unknown,North,North West,Manchester,None,None,None
Swinton (Greater Manchester),Northern,M27 4DD,North,North West,Manchester,None,None,None
Moorside,Northern,Unknown,North,North West,Manchester,None,None,None
Walkden,Northern,Unknown,North,North West,Manchester,None,None,None
Atherton,Northern,M46 9JR,North,North West,Manchester,None,None,None
Hag Fold,Northern,Unknown,North,North West,Manchester,None,None,None
Daisy Hill,Northern,Unknown,North,North West,Manchester,None,None,None
Hindley,Northern,WN2 3JZ,North,North West,Manchester,None,None,None
Ince (Greater Manchester),Northern,Unknown,North,North West,Manchester,None,None,None
Wigan Wallgate,Northern,WN1 1SS,North,North West,Manchester,None,None,None
Wigan North Western,"Avanti West Coast,Northern,TransPennine Express",WN1 1SD,North,North West,Manchester,None,None,None
Garswood,Northern,Unknown,North,North West,Manchester,None,None,None
Bryn,Northern,Unknown,North,North West,Manchester,None,None,None
Pemberton,Northern,Unknown,North,North West,Manchester,None,None,None
Orrell,Northern,Unknown,North,North West,Manchester,None,None,None
Upholland,Northern,Unknown,North,North West,Manchester,None,None,None
Rainford,Northern,Unknown,North,North West,Manchester,None,None,None
Rainford Junction,Northern,Unknown,Central,London,London,None,None,None
Maghull North,Northern,Unknown,North,North West,Liverpool,None,None,None
Maghull,Northern,Unknown,North,North West,Liverpool,None,None,None
Old Roan,Northern,Unknown,North,North West,Liverpool,None,None,None
Aintree,Northern,Unknown,North,North West,Liverpool,None,None,None
Kirkby (Merseyrail),Northern,Unknown,North,North West,Liverpool,None,None,None
Fazakerley,Northern,Unknown,North,North West,Liverpool,None,None,None
Ormskirk,Northern,L39 2AJ,North,North West,Liverpool,Ormskirk Parish Church (two towers),None,None
Burscough Bridge,Northern,Unknown,North,North West,Liverpool,None,None,None
New Lane,Northern,Unknown,North,North West,Liverpool,None,None,None
Bescar Lane,Northern,Unknown,North,North West,Liverpool,None,None,None
Meols Cop,Northern,Unknown,North,North West,Liverpool,None,None,None
Southport,Northern,PR8 1RB,North,North West,Liverpool,Southport Pier,None,None
Birkdale,Northern,Unknown,North,North West,Liverpool,None,None,None
Hillside,Northern,Unknown,North,North West,Liverpool,None,None,None
Ainsdale,Northern,Unknown,North,North West,Liverpool,None,None,None
Freshfield,Northern,Unknown,North,North West,Liverpool,None,None,None
Formby,Northern,Unknown,North,North West,Liverpool,None,None,None
Hightown,Northern,Unknown,North,North West,Liverpool,None,None,None
Hall Road,Northern,Unknown,North,North West,Liverpool,None,None,None
Blundellsands & Crosby,Northern,Unknown,North,North West,Liverpool,None,None,None
Waterloo (Merseyside),Northern,Unknown,North,North West,Liverpool,None,None,None
Seaforth & Litherland,Northern,Unknown,North,North West,Liverpool,None,None,None
Bootle Oriel Road,Northern,Unknown,North,North West,Liverpool,None,None,None
Bootle New Strand,Northern,Unknown,North,North West,Liverpool,None,None,None
Bank Hall,Northern,Unknown,North,North West,Liverpool,None,None,None
Sandhills,Northern,Unknown,North,North West,Liverpool,None,None,None
Ellesmere Port,Northern,Unknown,North,North West,Liverpool,None,None,None
Stanlow & Thornton,Northern,Unknown,North,North West,Liverpool,None,None,None
Ince & Elton,Northern,Unknown,North,North West,Liverpool,None,None,None
Frodsham,Northern,Unknown,North,North West,Liverpool,None,None,None
Helsby,Northern,Unknown,North,North West,Liverpool,None,None,None
Delamere,Northern,Unknown,North,North West,Manchester,None,None,None
Cuddington,Northern,Unknown,North,North West,Manchester,None,None,None
Greenbank,Northern,Unknown,North,North West,Manchester,None,None,None
Northwich,Northern,Unknown,North,North West,Manchester,None,None,None
Lostock Gralam,Northern,Unknown,North,North West,Manchester,None,None,None
Plumley,Northern,Unknown,North,North West,Manchester,None,None,None
Mobberley,Northern,Unknown,North,North West,Manchester,None,None,None
Ashley,Northern,Unknown,North,North West,Manchester,None,None,None
Altrincham,"Northern,TransPennine Express",WA14 1SF,North,North West,Manchester,None,None,None
Navigation Road,Northern,Unknown,North,North West,Manchester,None,None,None
Timperley,Northern,Unknown,North,North West,Manchester,None,None,None
Brooklands,Northern,Unknown,North,North West,Manchester,None,None,None
Sale,Northern,Unknown,North,North West,Manchester,None,None,None
Stretford,Northern,Unknown,North,North West,Manchester,None,None,None
Humphrey Park,Northern,Unknown,North,North West,Manchester,None,None,None
Urmston,Northern,Unknown,North,North West,Manchester,None,None,None
Flixton,Northern,Unknown,North,North West,Manchester,None,None,None
Chassen Road,Northern,Unknown,North,North West,Manchester,None,None,None
Irlam,Northern,Unknown,North,North West,Manchester,None,None,None
Cadishead,Northern,Unknown,North,North West,Manchester,None,None,None
Glazebrook,Northern,Unknown,North,North West,Manchester,None,None,None
Birchwood,Northern,Unknown,North,North West,Manchester,None,None,None
Padgate,Northern,Unknown,North,North West,Manchester,None,None,None
Sankey for Penketh,Northern,Unknown,North,North West,Manchester,None,None,None
Knutsford,Northern,Unknown,North,North West,Manchester,None,None,None
Hale,Northern,Unknown,North,North West,Manchester,None,None,None
Lymm,Northern,Unknown,North,North West,Manchester,None,None,None
Guide Bridge,Northern,Unknown,North,North West,Manchester,None,None,None
Flowery Field,Northern,Unknown,North,North West,Manchester,None,None,None
Fairfield,Northern,Unknown,North,North West,Manchester,None,None,None
Ashburys,Northern,Unknown,North,North West,Manchester,None,None,None
Piccadilly Gardens,Northern,Unknown,Central,London,London,None,None,None
Miles Platting,Northern,Unknown,North,North West,Manchester,None,None,None
Dean Lane,Northern,Unknown,North,North West,Manchester,None,None,None
Moston,Northern,Unknown,North,North West,Manchester,None,None,None
Woodlands Road,Northern,Unknown,North,North West,Manchester,None,None,None
Mills Hill,Northern,Unknown,North,North West,Manchester,None,None,None
Castleton,Northern,Unknown,North,North West,Manchester,None,None,None
Oldham Mumps,Northern,Unknown,Central,London,Manchester,None,None,None
Oldham Werneth,Northern,Unknown,Central,London,Manchester,None,None,None
Oldham King Street,Northern,Unknown,Central,London,Manchester,None,None,None
Werneth,Northern,Unknown,Central,London,London,None,None,None
Derker,Northern,Unknown,Central,London,London,None,None,None
Shaw & Crompton,Northern,Unknown,Central,London,London,None,None,None
Newhey,Northern,Unknown,Central,London,London,None,None,None
Milnrow,Northern,Unknown,Central,London,London,None,None,None
Kingsway Business Park,Northern,Unknown,Central,London,London,None,None,None
Newbold,Northern,Unknown,Central,London,London,None,None,None
Middleton Junction,Northern,Unknown,North,North West,Manchester,None,None,None
Slattocks,Northern,Unknown,North,North West,Manchester,None,None,None
Heywood,Northern,Unknown,North,North West,Manchester,None,None,None
Bury,Northern,Unknown,North,North West,Manchester,None,None,None
Radcliffe (Greater Manchester),Northern,Unknown,North,North West,Manchester,None,None,None
Clifton (Greater Manchester),Northern,Unknown,North,North West,Manchester,None,None,None
Pendleton,Northern,Unknown,North,North West,Manchester,None,None,None
Manchester Exchange,Northern,Unknown,North,North West,Manchester,None,None,None
Bilton,Northern,Unknown,Central,London,London,None,None,None
Pannal,Northern,Unknown,Central,London,London,None,None,None
Hornbeam Park,Northern,Unknown,Central,London,London,None,None,None
Weeton,Northern,Unknown,Central,London,London,None,None,None
Tadcaster,Northern,Unknown,Central,London,London,None,None,None
Ripon,Northern,Unknown,Central,London,London,None,None,None
Yarm,Northern,Unknown,Central,London,London,None,None,None
Eaglescliffe,Northern,Unknown,Central,London,London,None,None,None
Gypsy Lane,Northern,Unknown,Central,London,London,None,None,None
Longlands,Northern,Unknown,Central,London,London,None,None,None
Hemlington,Northern,Unknown,Central,London,London,None,None,None
Coulby Newham,Northern,Unknown,Central,London,London,None,None,None
Hutton Gate,Northern,Unknown,Central,London,London,None,None,None
